               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06661,            0.042068,                   0,              0.7611,             0.63657,             0.72024,             0.39642,            0.047247,            0.024819,                   0,             0.07006,           0.0033267,           0.0033267
                   1,            0.048371,            0.031024,                   0,             0.80848,             0.68692,             0.78126,             0.48166,            0.040867,            0.025146,                   0,            0.039928,           0.0065281,           0.0065281
                   2,            0.044996,            0.031367,                   0,             0.79258,             0.68027,             0.76648,             0.47157,            0.042395,            0.026078,                   0,           0.0096643,           0.0095976,           0.0095976
                   3,            0.042418,            0.031851,                   0,             0.77902,             0.64905,             0.74294,             0.46934,            0.041351,            0.027718,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.040229,            0.033414,                   0,             0.77959,              0.6764,             0.75844,             0.48224,            0.040049,            0.027516,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.03941,            0.033384,                   0,             0.77745,             0.65693,             0.73778,             0.47103,            0.039986,            0.028675,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.038359,            0.033301,                   0,              0.7877,             0.64332,             0.73574,             0.45951,            0.040531,            0.028612,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.037725,            0.033186,                   0,             0.77531,              0.6687,             0.74671,             0.46912,            0.038994,            0.028282,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.037098,            0.032642,                   0,             0.73875,              0.6611,             0.71756,             0.45574,            0.039603,            0.029304,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.036328,            0.032223,                   0,             0.78535,             0.65461,             0.74039,             0.47791,            0.038707,            0.028333,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.036024,            0.032406,                   0,             0.78358,             0.64302,             0.73809,             0.47956,            0.039301,            0.028611,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035527,            0.031986,                   0,             0.77701,             0.66249,             0.74159,             0.47563,            0.039085,            0.028783,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.034777,            0.030328,                   0,             0.79169,             0.63957,             0.73903,             0.47735,            0.039148,            0.028863,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.034776,            0.031136,                   0,             0.78265,              0.6594,             0.74554,              0.4789,            0.039258,            0.028648,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033845,            0.029937,                   0,             0.80001,             0.63797,             0.74249,             0.48286,            0.038999,            0.028866,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.033328,            0.029514,                   0,             0.75758,              0.6815,             0.74339,             0.48586,            0.038727,            0.028767,                   0,            0.007228,            0.007228,            0.007228
                  16,              0.0329,            0.029379,                   0,             0.79257,             0.65971,             0.73601,              0.4799,            0.039382,            0.029564,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032703,            0.029059,                   0,              0.7915,             0.64534,             0.73256,             0.48041,            0.039229,            0.029693,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032109,            0.028861,                   0,              0.7766,             0.65755,             0.74052,             0.48948,            0.037901,            0.029867,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.031361,            0.028014,                   0,             0.77248,             0.65971,             0.73519,             0.48775,            0.038498,            0.030006,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.031384,            0.027962,                   0,             0.80241,             0.66018,             0.74836,              0.4938,            0.038499,            0.029423,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.030878,            0.027245,                   0,             0.77993,             0.64737,             0.73384,             0.49122,            0.038226,            0.029924,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.030763,            0.027427,                   0,             0.76259,             0.68104,               0.736,              0.4905,            0.038282,            0.030504,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.030119,            0.027437,                   0,             0.79368,             0.65275,              0.7362,               0.487,            0.038014,            0.030164,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.029522,              0.0265,                   0,             0.78306,             0.67273,             0.74752,             0.49732,            0.038363,            0.029873,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.029104,            0.026204,                   0,             0.79064,             0.66528,              0.7464,             0.50096,            0.038403,            0.029812,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.028803,            0.025456,                   0,             0.79009,             0.65879,             0.74002,             0.49668,            0.038313,            0.030239,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02839,            0.025505,                   0,             0.81954,             0.64424,             0.74252,             0.50171,            0.038249,            0.030814,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.028192,            0.025491,                   0,             0.79679,             0.63746,              0.7348,             0.49485,            0.038419,            0.031567,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.027679,            0.024142,                   0,             0.80285,              0.6421,             0.72976,             0.49664,            0.038502,            0.032039,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.02724,            0.024697,                   0,             0.80478,             0.64766,             0.73742,             0.49835,            0.038266,            0.030997,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.027207,            0.023751,                   0,              0.7858,              0.6713,             0.74741,             0.50482,            0.037687,            0.031302,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.026595,             0.02327,                   0,             0.79494,             0.64998,               0.735,             0.49916,            0.038621,            0.032077,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.026528,            0.023474,                   0,             0.75612,             0.66981,             0.73593,              0.4985,             0.03819,            0.032215,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026155,            0.023191,                   0,             0.77918,             0.65433,             0.73028,             0.49398,             0.03846,            0.033275,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.025478,            0.022643,                   0,             0.77127,             0.66713,             0.73556,             0.50229,            0.038215,            0.032686,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.025695,            0.022474,                   0,             0.80198,             0.64777,             0.73476,             0.49655,             0.03857,             0.03258,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.024873,            0.021656,                   0,             0.82171,             0.62355,             0.73226,             0.49799,            0.038676,            0.033259,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.024907,            0.021692,                   0,             0.80796,             0.63514,             0.73279,             0.49817,            0.039048,            0.033858,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.024698,            0.021506,                   0,             0.78634,             0.65008,             0.73279,             0.49915,            0.038663,            0.033763,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.024651,            0.021365,                   0,             0.78692,             0.64905,             0.72949,             0.49547,            0.039128,            0.033866,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024263,            0.021241,                   0,             0.79588,             0.65256,             0.73377,             0.50526,            0.038502,            0.033206,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.023624,            0.020538,                   0,             0.77616,             0.65971,             0.73007,             0.50379,            0.039193,            0.034194,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023755,            0.020783,                   0,             0.80755,             0.63421,              0.7277,             0.50228,            0.039288,            0.034499,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023124,              0.0201,                   0,             0.78269,             0.66459,             0.73032,             0.50422,            0.038978,            0.034338,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.023586,            0.020482,                   0,             0.80776,              0.6448,             0.72579,              0.4986,            0.039066,            0.034963,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.023095,            0.019946,                   0,             0.79701,             0.65554,             0.72583,             0.50213,            0.039289,            0.035323,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.022786,            0.019919,                   0,             0.80123,             0.65408,               0.732,              0.5052,            0.038942,            0.035288,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022316,            0.019507,                   0,             0.79829,             0.65276,             0.73101,             0.50559,            0.038876,            0.034905,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022155,            0.018969,                   0,             0.79593,             0.65817,             0.73206,             0.50321,            0.039169,            0.035475,                   0,            0.000496,            0.000496,            0.000496
